division_full,date,mean,anomaly,pchange,rank
Hawaiʻi::Hawaiʻi Mauka,2026-03,49.838332052832904,1.3884759047961595,1.3884759047961595,30.0
Hawaiʻi::Hilo,2026-03,64.93480457607575,1.8293886933301025,1.8293886933301025,34.0
Hawaiʻi::Kaʻu,2026-03,64.64319787985866,1.8606701161029804,1.8606701161029804,34.0
Hawaiʻi::Kona,2026-03,62.841206777470816,1.8614584261652283,1.8614584261652283,35.0
Hawaiʻi::Leeward Kohala,2026-03,68.40918986305448,1.8985170437630217,1.8985170437630217,35.0
Hawaiʻi::Windward Kohala,2026-03,64.29159325928762,1.8483812476062695,1.8483812476062695,34.0
Kauaʻi::Leeward Kauaʻi,2026-03,68.29282856571314,1.193017040908174,1.193017040908174,29.0
Kauaʻi::Windward Kauaʻi,2026-03,69.05509069188317,1.1712743135011436,1.1712743135011436,29.0
Maui::Leeward Maui Nui,2026-03,69.17053222077307,0.7829747895423367,0.7829747895423367,27.0
Maui::Windward Maui Nui,2026-03,66.49942069337165,0.906938207292967,0.906938207292967,27.0
Oʻahu::Koʻolau,2026-03,70.27292698841016,0.9057180615765787,0.9057180615765787,26.0
Oʻahu::Waianae,2026-03,71.85532183833539,0.9509010176962391,0.9509010176962391,28.0
