island,division_type,name,date,D4,D3,D2,D1,D0,Near Normal,W0,W1,W2,W3,W4
Hawai‘i,watershed,Aamakao,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Alakahi,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawai‘i,watershed,Aleamai,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawai‘i,watershed,Alia,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawai‘i,watershed,Alilipali,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawai‘i,watershed,Hakalau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,62.913907284768214,37.086092715231786,0.0,0.0,0.0
Hawai‘i,watershed,Halawa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Halelua,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Hanaula,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Hanawī,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,57.05882352941176,42.94117647058823,0.0,0.0,0.0
Hawai‘i,watershed,Hapahapai,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Haʻakoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawai‘i,watershed,Honokaia,2026-03,0.0,0.0,0.0,0.0,0.0,8.15450643776824,23.319027181688128,21.888412017167383,16.452074391988557,30.185979971387695,0.0
Hawai‘i,watershed,Honokeʻā,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Honokoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63799283154122,19.892473118279568,21.32616487455197,40.14336917562724
Hawai‘i,watershed,Honokāne Iki,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Honokāne Nui,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Honokōhau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Honoliʻi,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,20.60857538035961,79.39142461964039,0.0,0.0,0.0
Hawai‘i,watershed,Honomu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,62.40601503759399,37.59398496240601,0.0,0.0,0.0
Hawai‘i,watershed,Honopue,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Hualua,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Hāloa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428571428571,14.285714285714285
Hawai‘i,watershed,Hīlea,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02439619419370578,99.97560380580629,0.0
Hawai‘i,watershed,Kaapoko,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawai‘i,watershed,Kahaupu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,27.419354838709676,41.12903225806452,31.451612903225808,0.0,0.0
Hawai‘i,watershed,Kahawailiili,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,51.780415430267055,38.4272997032641,9.792284866468842,0.0,0.0
Hawai‘i,watershed,Kahoʻopuʻu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857142857143,28.57142857142857
Hawai‘i,watershed,Kaieie,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,65.85365853658537,34.146341463414636,0.0,0.0,0.0
Hawai‘i,watershed,Kaimu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3513513513513513,98.64864864864865
Hawai‘i,watershed,Kainapahoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,2.763819095477387,28.391959798994975,24.623115577889447,44.221105527638194,0.0
Hawai‘i,watershed,Kaiwiki,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawai‘i,watershed,Kaiwilahilahi,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawai‘i,watershed,Kalaoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawai‘i,watershed,Kalapahapuʻu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawai‘i,watershed,Kalele,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Kaluahine Falls,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawai‘i,watershed,Kalōpā,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,27.765404602821086,72.23459539717891,0.0,0.0,0.0
Hawai‘i,watershed,Kamakoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.13148458044465694,7.924934257709777,80.94668897920153,10.889313889552952,0.10757829309108295,0.0
Hawai‘i,watershed,Kaohaoha,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawai‘i,watershed,Kapehu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawai‘i,watershed,Kapehu Camp,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawai‘i,watershed,Kapua,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawai‘i,watershed,Kapue,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,15.355086372360843,84.64491362763916,0.0,0.0,0.0
Hawai‘i,watershed,Kapulena,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawai‘i,watershed,Kapāpala,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.23492541055535,61.45167356148929,0.3134010279553717,0.0
Hawai‘i,watershed,Kaumoali,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawai‘i,watershed,Kaunā,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5972404730617606,96.40275952693824
Hawai‘i,watershed,Kawaihae,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.66043613707165,30.4257528556594,33.021806853582554,7.892004153686397
Hawai‘i,watershed,Kawaikalia,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawai‘i,watershed,Kawainui,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,43.169398907103826,56.830601092896174,0.0,0.0,0.0
Hawai‘i,watershed,Kawela,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawai‘i,watershed,Kaʻahakini,2026-03,0.0,0.0,0.0,0.0,0.0,38.03550295857988,32.24852071005917,29.680473372781062,0.03550295857988166,0.0,0.0
Hawai‘i,watershed,Kaʻaheiki,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,88.88888888888889,11.11111111111111,0.0,0.0,0.0
Hawai‘i,watershed,Kaʻala,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
