timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,137.3,3.499,2.014,3.499
2026-03-10 00:05:00,130,3.554,2.276,3.665
2026-03-10 00:10:00,129.1,3.943,2.491,4.165
2026-03-10 00:15:00,144.4,2.721,1.564,2.832
2026-03-10 00:20:00,142.2,3.499,1.851,3.499
2026-03-10 00:25:00,140.5,2.999,1.877,2.999
2026-03-10 00:30:00,145.6,3.61,2.045,3.832
2026-03-10 00:35:00,145.9,3.61,1.879,3.665
2026-03-10 00:40:00,141.8,3.276,1.815,3.332
2026-03-10 00:45:00,137.9,3.054,1.695,3.165
2026-03-10 00:50:00,148.7,2.832,1.615,2.999
2026-03-10 00:55:00,150.1,2.277,1.329,2.499
2026-03-10 01:00:00,164.5,1.666,0.596,1.666
2026-03-10 01:05:00,168.2,1.388,0.58,1.499
2026-03-10 01:10:00,167.6,2.277,1.022,2.332
2026-03-10 01:15:00,178.2,2.166,1.041,2.166
2026-03-10 01:20:00,150.7,2.166,0.922,2.332
2026-03-10 01:25:00,152.9,2.61,1.303,2.666
2026-03-10 01:30:00,180.5,2.388,0.847,2.499
2026-03-10 01:35:00,213.4,3.554,1.893,3.665
2026-03-10 01:40:00,207,2.832,1.632,2.832
2026-03-10 01:45:00,193.3,1.833,1.048,1.833
2026-03-10 01:50:00,196.8,1.666,1.071,1.666
2026-03-10 01:55:00,192.5,1.666,1.301,1.666
2026-03-10 02:00:00,181.6,1.444,0.982,1.499
2026-03-10 02:05:00,177.8,2.11,1.371,2.166
2026-03-10 02:10:00,188.3,2.277,1.432,2.332
2026-03-10 02:15:00,204.8,2.666,1.825,2.666
2026-03-10 02:20:00,218.2,2.943,2.526,2.999
2026-03-10 02:25:00,216.9,2.832,2.296,2.832
2026-03-10 02:30:00,217.8,3.054,2.517,3.165
2026-03-10 02:35:00,207.1,2.61,1.933,2.666
2026-03-10 02:40:00,188.6,1.61,1.273,1.666
2026-03-10 02:45:00,193.7,1.888,1.358,1.999
2026-03-10 02:50:00,187.1,1.833,1.469,1.833
2026-03-10 02:55:00,192.9,2.055,1.517,2.166
2026-03-10 03:00:00,195.5,1.833,1.244,1.999
2026-03-10 03:05:00,195.9,1.444,1.122,1.499
2026-03-10 03:10:00,194.7,1.499,1.222,1.666
2026-03-10 03:15:00,190.5,1.555,1.205,1.666
2026-03-10 03:20:00,175.3,2.166,1.663,2.166
2026-03-10 03:25:00,185,1.555,1.337,1.666
2026-03-10 03:30:00,187.9,1.555,1.245,1.666
2026-03-10 03:35:00,182.4,1.388,1.111,1.499
2026-03-10 03:40:00,178.2,1.666,1.124,1.666
2026-03-10 03:45:00,178.3,1.222,0.629,1.333
2026-03-10 03:50:00,174.6,2.332,1.447,2.332
2026-03-10 03:55:00,178.9,1.722,1.143,1.833
2026-03-10 04:00:00,191.6,1.388,1.05,1.499
2026-03-10 04:05:00,201.1,2.277,1.422,2.332
2026-03-10 04:10:00,197.9,2.666,1.694,2.832
2026-03-10 04:15:00,196.2,2.499,1.725,2.499
2026-03-10 04:20:00,197,2.555,1.694,2.666
2026-03-10 04:25:00,196.3,2.499,1.669,2.666
2026-03-10 04:30:00,196.9,2.221,1.493,2.332
2026-03-10 04:35:00,196.3,2.721,1.547,2.999
2026-03-10 04:40:00,192.3,1.944,1.506,1.999
2026-03-10 04:45:00,189,2.277,1.639,2.332
2026-03-10 04:50:00,185.3,2.166,1.526,2.166
2026-03-10 04:55:00,184.9,2.055,1.569,2.166
2026-03-10 05:00:00,187.2,1.944,1.333,1.999
2026-03-10 05:05:00,176.4,1.888,1.547,1.999
2026-03-10 05:10:00,171.3,2.11,1.552,2.166
2026-03-10 05:15:00,176.1,2.221,1.678,2.332
2026-03-10 05:20:00,181.2,1.944,1.634,1.999
2026-03-10 05:25:00,174.1,2.166,1.69,2.166
2026-03-10 05:30:00,174.8,2.277,1.837,2.332
2026-03-10 05:35:00,181.7,2.332,1.619,2.332
2026-03-10 05:40:00,185.7,1.722,1.448,1.833
2026-03-10 05:45:00,182.8,1.999,1.458,1.999
2026-03-10 05:50:00,185.7,1.999,1.323,1.999
2026-03-10 05:55:00,174.9,1.444,1.276,1.499
2026-03-10 06:00:00,181.4,1.777,1.399,1.833
2026-03-10 06:05:00,184.3,1.722,1.279,1.833
2026-03-10 06:10:00,180,1.833,1.279,1.833
2026-03-10 06:15:00,177.3,1.388,1.098,1.499
2026-03-10 06:20:00,180.3,2.055,1.224,2.166
2026-03-10 06:25:00,184.4,1.888,1.305,1.999
2026-03-10 06:30:00,195.4,1.499,0.997,1.499
2026-03-10 06:35:00,199.1,1.444,0.77,1.499
2026-03-10 06:40:00,188.7,1.499,0.867,1.499
2026-03-10 06:45:00,182.6,1.222,0.824,1.333
2026-03-10 06:50:00,187,1.222,0.812,1.333
2026-03-10 06:55:00,194.7,1.222,0.796,1.333
2026-03-10 07:00:00,192.9,1.222,0.743,1.333
2026-03-10 07:05:00,194.4,0.944,0.549,1
2026-03-10 07:10:00,198.4,1,0.563,1
2026-03-10 07:15:00,193.7,1.222,0.771,1.333
2026-03-10 07:20:00,202.3,1.444,0.912,1.499
2026-03-10 07:25:00,210.5,1.833,1.083,1.999
2026-03-10 07:30:00,190.4,1.833,0.87,1.833
2026-03-10 07:35:00,184.8,0.889,0.588,1
2026-03-10 07:40:00,182.1,1.555,0.645,1.666
2026-03-10 07:45:00,141.5,2.443,0.822,2.499
2026-03-10 07:50:00,141.3,1.722,1.079,1.833
2026-03-10 07:55:00,129.1,2.055,1.046,2.166
2026-03-10 08:00:00,105.5,1.999,1.165,1.999
2026-03-10 08:05:00,104,2.332,1.148,2.499
2026-03-10 08:10:00,88.7,3.665,1.282,3.665
2026-03-10 08:15:00,98.5,3.276,1.558,3.499
2026-03-10 08:20:00,103.5,3.721,2.001,3.832
2026-03-10 08:25:00,109.1,3.388,1.938,3.665
2026-03-10 08:30:00,120.8,2.555,1.332,2.666
2026-03-10 08:35:00,113.9,4.165,2.378,4.332
2026-03-10 08:40:00,115.2,4.221,2.124,4.665
2026-03-10 08:45:00,97.5,3.61,1.542,3.665
2026-03-10 08:50:00,111,3.11,1.944,3.165
2026-03-10 08:55:00,72.73,1.999,0.805,1.999
2026-03-10 09:00:00,65.32,3.499,1.231,3.665
2026-03-10 09:05:00,102.2,3.998,2.038,4.165
2026-03-10 09:10:00,99.7,3.721,1.956,3.832
2026-03-10 09:15:00,77.28,2.61,1.046,2.666
2026-03-10 09:20:00,62.41,2.221,0.891,2.499
2026-03-10 09:25:00,73.75,2.999,1.115,3.332
2026-03-10 09:30:00,68.08,2.721,1.321,2.832
2026-03-10 09:35:00,81.1,2.943,1.228,3.165
2026-03-10 09:40:00,50.92,2.777,1.187,2.832
2026-03-10 09:45:00,49.76,2.777,1.262,2.999
2026-03-10 09:50:00,50.29,2.832,1.393,2.832
2026-03-10 09:55:00,84.1,2.777,1.204,2.999
2026-03-10 10:00:00,70.48,2.666,1.216,2.832
2026-03-10 10:05:00,87,2.999,1.222,2.999
2026-03-10 10:10:00,79.44,3.11,1.487,3.165
2026-03-10 10:15:00,56.35,2.443,1.145,2.499
2026-03-10 10:20:00,69.33,2.721,1.255,3.165
2026-03-10 10:25:00,69.79,3.499,1.74,3.665
2026-03-10 10:30:00,71.24,5.942,1.914,6.331
2026-03-10 10:35:00,67.91,6.109,1.892,5.831
2026-03-10 10:40:00,74.16,4.942,1.665,5.165
2026-03-10 10:45:00,79.31,4.942,2.049,5.331
2026-03-10 10:50:00,81.4,5.831,2.051,6.164
2026-03-10 10:55:00,70.21,6.164,2.091,6.831
2026-03-10 11:00:00,59.29,4.221,2.087,4.831
2026-03-10 11:05:00,60.51,4.221,1.81,4.665
2026-03-10 11:10:00,73.2,4.221,1.905,4.665
2026-03-10 11:15:00,86,3.832,1.86,4.498
2026-03-10 11:20:00,90.5,5.22,1.845,5.498
2026-03-10 11:25:00,65.76,4.332,1.984,4.498
2026-03-10 11:30:00,60.94,4.221,2.06,4.831
2026-03-10 11:35:00,56.38,4.942,2.005,5.331
2026-03-10 11:40:00,52.2,4.332,2.127,4.498
2026-03-10 11:45:00,55.62,3.998,1.697,4.332
2026-03-10 11:50:00,59.64,3.499,1.353,3.665
2026-03-10 11:55:00,57.35,3.998,1.545,4.332
2026-03-10 12:00:00,64.76,5.887,2.014,6.164
2026-03-10 12:05:00,62.2,4.276,1.919,4.332
2026-03-10 12:10:00,66.11,3.776,1.864,3.998
2026-03-10 12:15:00,52.75,4.054,2.099,4.165
2026-03-10 12:20:00,52.11,3.554,1.715,3.832
2026-03-10 12:25:00,52.64,3.499,1.878,3.665
2026-03-10 12:30:00,56.83,4.554,1.861,4.665
2026-03-10 12:35:00,61.61,4.665,1.917,4.998
2026-03-10 12:40:00,54.82,4.498,1.771,4.665
2026-03-10 12:45:00,31.58,2.499,1.366,2.499
2026-03-10 12:50:00,37.54,2.499,1.191,2.666
2026-03-10 12:55:00,53.86,3.832,1.764,3.832
2026-03-10 13:00:00,63.55,2.61,1.45,2.832
2026-03-10 13:05:00,60.21,2.666,1.432,2.832
2026-03-10 13:10:00,50.78,2.777,1.211,2.832
2026-03-10 13:15:00,31.72,2.999,1.438,2.999
2026-03-10 13:20:00,39.3,2.443,1.236,2.499
2026-03-10 13:25:00,26.4,2.388,1.308,2.499
2026-03-10 13:30:00,62.44,2.499,1.023,2.499
2026-03-10 13:35:00,43.46,2.777,1.211,2.832
2026-03-10 13:40:00,46.12,3.276,1.923,3.332
2026-03-10 13:45:00,48.32,3.221,1.678,3.332
2026-03-10 13:50:00,38.07,2.499,1.165,2.666
2026-03-10 13:55:00,52.32,2.888,1.547,3.165
2026-03-10 14:00:00,59.91,4.332,2.241,4.498
