timestamp,WDuv_1_Avg_value,WG_1_Max_value,WS_1_Avg_value,WS_1_Max_value
2026-03-10 00:00:00,236.2,2.332,1.203,2.332
2026-03-10 00:05:00,216.5,2.61,1.984,2.666
2026-03-10 00:10:00,189.5,2.888,1.954,2.999
2026-03-10 00:15:00,213,1.999,1.372,1.999
2026-03-10 00:20:00,225,1.61,1.068,1.666
2026-03-10 00:25:00,246.9,2.499,1.624,2.499
2026-03-10 00:30:00,234.3,2.666,1.546,2.666
2026-03-10 00:35:00,204.2,2.055,1.126,2.166
2026-03-10 00:40:00,224.1,2.666,1.899,2.666
2026-03-10 00:45:00,205.1,2.166,1.309,2.332
2026-03-10 00:50:00,228.1,2.777,1.928,2.832
2026-03-10 00:55:00,210.1,2.721,1.798,2.832
2026-03-10 01:00:00,222.2,2.777,1.8,2.832
2026-03-10 01:05:00,244.1,2.332,1.15,2.332
2026-03-10 01:10:00,201.5,2.388,1.64,2.499
2026-03-10 01:15:00,251,2.499,1.574,2.499
2026-03-10 01:20:00,209.7,1.666,1.207,1.666
2026-03-10 01:25:00,206.1,1.944,1.208,1.999
2026-03-10 01:30:00,219.8,1.833,1.438,1.833
2026-03-10 01:35:00,228.7,2.277,1.371,2.332
2026-03-10 01:40:00,206.5,2.11,1.553,2.166
2026-03-10 01:45:00,249.8,1.944,1.6,1.999
2026-03-10 01:50:00,232.8,1.833,1.04,1.833
2026-03-10 01:55:00,183.9,1.61,1.242,1.666
2026-03-10 02:00:00,251.4,1.722,1.029,1.833
2026-03-10 02:05:00,227.1,2.443,1.914,2.499
2026-03-10 02:10:00,243,1.833,1.072,1.833
2026-03-10 02:15:00,235.6,1.333,0.78,1.333
2026-03-10 02:20:00,230.9,1.444,0.964,1.499
2026-03-10 02:25:00,258.8,1.444,0.885,1.499
2026-03-10 02:30:00,210.7,2.166,1.481,2.166
2026-03-10 02:35:00,217.3,1.722,1.3,1.833
2026-03-10 02:40:00,205.9,1.944,1.389,1.999
2026-03-10 02:45:00,227.7,2.055,1.603,2.166
2026-03-10 02:50:00,226.4,2.499,1.808,2.499
2026-03-10 02:55:00,219.8,2.221,1.569,2.332
2026-03-10 03:00:00,209.5,2.221,1.703,2.332
2026-03-10 03:05:00,244.6,1.999,1.322,1.999
2026-03-10 03:10:00,194.3,0.889,0.58,1
2026-03-10 03:15:00,252.6,1.555,0.761,1.666
2026-03-10 03:20:00,222.4,0.944,0.55,1
2026-03-10 03:25:00,195.5,1.111,0.707,1.166
2026-03-10 03:30:00,242.3,1.166,0.601,1.166
2026-03-10 03:35:00,211.6,0.722,0.285,0.833
2026-03-10 03:40:00,242.7,0.777,0.319,0.833
2026-03-10 03:45:00,268.9,1.111,0.317,1.166
2026-03-10 03:50:00,229.2,1.777,0.966,1.833
2026-03-10 03:55:00,221.3,1.833,1.207,1.833
2026-03-10 04:00:00,247,2.277,1.499,2.332
2026-03-10 04:05:00,222.3,2.499,1.609,2.499
2026-03-10 04:10:00,211.4,2.721,1.908,2.832
2026-03-10 04:15:00,228.9,2.61,1.487,2.666
2026-03-10 04:20:00,219.8,2.721,1.805,2.832
2026-03-10 04:25:00,229.7,2.332,1.521,2.332
2026-03-10 04:30:00,210.6,1.999,1.325,1.999
2026-03-10 04:35:00,221,2.221,1.532,2.332
2026-03-10 04:40:00,220.6,2.388,1.466,2.499
2026-03-10 04:45:00,229.8,1.833,1.438,1.833
2026-03-10 04:50:00,230,2.388,1.618,2.499
2026-03-10 04:55:00,231.7,1.777,1.145,1.833
2026-03-10 05:00:00,232.9,1.722,0.969,1.833
2026-03-10 05:05:00,232.8,1.61,0.474,1.666
2026-03-10 05:10:00,235,1.888,0.769,1.999
2026-03-10 05:15:00,152.8,1.944,0.88,1.999
2026-03-10 05:20:00,223.8,1.999,0.906,1.999
2026-03-10 05:25:00,210.4,1.666,0.935,1.666
2026-03-10 05:30:00,266.3,1.61,0.87,1.666
2026-03-10 05:35:00,280.6,1.666,0.9,1.666
2026-03-10 05:40:00,101.9,1.61,0.319,1.833
2026-03-10 05:45:00,296.4,1.777,1.073,1.833
2026-03-10 05:50:00,64.95,2.277,1.209,2.332
2026-03-10 05:55:00,298,2.221,0.97,2.332
2026-03-10 06:00:00,59.61,2.721,0.791,2.832
2026-03-10 06:05:00,200.6,2.443,1.636,2.499
2026-03-10 06:10:00,214.5,2.277,1.481,2.332
2026-03-10 06:15:00,181.6,2.721,1.969,2.832
2026-03-10 06:20:00,196.1,2.166,1.288,2.166
2026-03-10 06:25:00,252.8,2.777,1.287,2.832
2026-03-10 06:30:00,254.5,3.276,1.232,3.332
2026-03-10 06:35:00,172.1,2.443,1.215,2.499
2026-03-10 06:40:00,195.9,2.388,1.377,2.332
2026-03-10 06:45:00,213,2.055,1.542,2.166
2026-03-10 06:50:00,214.2,2.166,1.131,2.166
2026-03-10 06:55:00,179.1,2.221,1.589,2.332
2026-03-10 07:00:00,232.5,1.666,1.21,1.666
2026-03-10 07:05:00,257.4,1.61,0.92,1.666
2026-03-10 07:10:00,195.7,2.221,0.745,2.332
2026-03-10 07:15:00,182.3,3.276,1.958,3.332
2026-03-10 07:20:00,188.4,2.943,2.019,2.999
2026-03-10 07:25:00,173.1,2.277,1.596,2.332
2026-03-10 07:30:00,191.7,3.443,1.854,3.499
2026-03-10 07:35:00,194.3,2.166,1.434,2.166
2026-03-10 07:40:00,215.1,2.221,1.503,2.332
2026-03-10 07:45:00,205.1,1.833,1.162,1.833
2026-03-10 07:50:00,182.2,3.221,1.107,3.332
2026-03-10 07:55:00,191.3,3.221,1.28,3.332
2026-03-10 08:00:00,216.7,2.221,0.991,2.332
2026-03-10 08:05:00,169.5,1.499,0.673,1.499
2026-03-10 08:10:00,14.74,2.499,0.839,2.666
2026-03-10 08:15:00,91.2,2.499,1.044,2.499
2026-03-10 08:20:00,137.8,2.555,1.484,2.666
2026-03-10 08:25:00,120.2,1.499,0.658,1.499
2026-03-10 08:30:00,239.8,0.722,0.163,0.833
2026-03-10 08:35:00,199.4,1.111,0.456,1.166
2026-03-10 08:40:00,170.8,1.277,0.369,1.333
2026-03-10 08:45:00,112.9,1.111,0.305,1.166
2026-03-10 08:50:00,117.5,1.833,1.015,1.833
2026-03-10 08:55:00,89.9,2.11,0.901,2.166
2026-03-10 09:00:00,106.4,2.555,1.528,2.666
2026-03-10 09:05:00,127.5,2.443,1.367,2.499
2026-03-10 09:10:00,162,1.277,0.324,1.333
2026-03-10 09:15:00,134.2,1.722,0.612,1.833
2026-03-10 09:20:00,107.7,2.388,1.104,2.499
2026-03-10 09:25:00,111.3,2.388,1.377,2.499
2026-03-10 09:30:00,124,2.277,1.206,2.332
2026-03-10 09:35:00,121.4,2.555,1.2,2.666
2026-03-10 09:40:00,83.3,1.499,0.697,1.499
2026-03-10 09:45:00,112.2,1.61,0.683,1.666
2026-03-10 09:50:00,139.5,1.722,0.94,1.833
2026-03-10 09:55:00,211.6,2.055,1.031,2.166
2026-03-10 10:00:00,165.6,1.166,0.279,1.166
2026-03-10 10:05:00,109.5,2.832,1.27,2.999
2026-03-10 10:10:00,119,3.887,1.374,3.998
2026-03-10 10:15:00,126.4,3.887,1.773,3.998
2026-03-10 10:20:00,119.6,3.054,1.514,3.165
2026-03-10 10:25:00,96.1,2.999,1.895,3.165
2026-03-10 10:30:00,96.9,3.887,2.227,3.998
2026-03-10 10:35:00,100,4.054,2.344,4.165
2026-03-10 10:40:00,104.8,4.054,2.776,4.165
2026-03-10 10:45:00,117.4,4.387,2.691,4.498
2026-03-10 10:50:00,119.9,4.332,2.481,4.498
2026-03-10 10:55:00,122,4.554,2.512,4.665
2026-03-10 11:00:00,116.2,4.554,3.023,4.831
2026-03-10 11:05:00,118.8,5.22,3.093,5.498
2026-03-10 11:10:00,133.5,3.887,1.778,3.998
2026-03-10 11:15:00,144.5,3.887,1.758,3.998
2026-03-10 11:20:00,110.5,4.387,2.299,4.665
2026-03-10 11:25:00,131.1,6.164,3.227,6.331
2026-03-10 11:30:00,149.3,6.109,3.464,6.331
2026-03-10 11:35:00,128.9,5.72,3.092,5.831
2026-03-10 11:40:00,138.8,7.164,3.446,7.33
2026-03-10 11:45:00,125.2,4.72,3.135,4.831
2026-03-10 11:50:00,129.5,5.165,2.836,5.331
2026-03-10 11:55:00,135.7,6.553,3.117,6.831
2026-03-10 12:00:00,138.1,5.72,3.545,5.831
2026-03-10 12:05:00,140.8,6.386,3.39,6.664
2026-03-10 12:10:00,147.1,6.109,3.298,6.497
2026-03-10 12:15:00,130.4,5.276,1.255,5.498
2026-03-10 12:20:00,138.8,7.219,3.017,7.33
2026-03-10 12:25:00,155.7,6.109,3.326,6.331
2026-03-10 12:30:00,136.9,7.608,4.58,8.16
2026-03-10 12:35:00,139.8,8.94,4.895,9
2026-03-10 12:40:00,143.3,7.83,4.658,8.16
2026-03-10 12:45:00,137.8,10.44,4.556,10.5
2026-03-10 12:50:00,129.1,7.886,4.268,7.997
2026-03-10 12:55:00,136,8.83,3.287,9.16
2026-03-10 13:00:00,135.6,8.33,4.774,8.83
2026-03-10 13:05:00,125.7,7.275,3.562,7.497
2026-03-10 13:10:00,132.3,8.66,4.982,8.83
2026-03-10 13:15:00,135.6,8.55,4.034,8.33
2026-03-10 13:20:00,136.3,9,4.54,9.5
2026-03-10 13:25:00,140.4,7.941,4.398,8.16
2026-03-10 13:30:00,130.1,7.33,3.752,7.497
2026-03-10 13:35:00,130,8.16,4.318,8.33
2026-03-10 13:40:00,136.4,8.27,4.409,8.5
2026-03-10 13:45:00,139.6,7.886,3.744,8.16
2026-03-10 13:50:00,128.1,6.553,2.596,6.831
2026-03-10 13:55:00,135.4,6.275,3.354,6.331
2026-03-10 14:00:00,154.7,5.831,2.349,5.998
2026-03-10 14:05:00,119.2,6.942,2.498,7.33
2026-03-10 14:10:00,150.6,3.832,1.334,4.332
2026-03-10 14:15:00,137,3.388,1.755,3.499
2026-03-10 14:20:00,209.6,3.776,1.152,3.832
2026-03-10 14:25:00,289.8,4.109,1.39,4.165
2026-03-10 14:30:00,248.5,4.831,2.262,5.165
2026-03-10 14:35:00,223.8,5.331,1.881,5.498
2026-03-10 14:40:00,259.2,4.165,1.633,4.665
2026-03-10 14:45:00,250.2,4.998,2.713,5.165
2026-03-10 14:50:00,262.4,4.72,2.413,4.665
2026-03-10 14:55:00,258.4,5.165,2.042,5.498
2026-03-10 15:00:00,273.6,5.998,2.289,6.331
2026-03-10 15:05:00,263.2,5.72,2.628,5.831
2026-03-10 15:10:00,262.9,5.498,2.58,5.498
2026-03-10 15:15:00,279.8,4.498,2.615,4.831
2026-03-10 15:20:00,258.9,4.998,1.663,5.331
2026-03-10 15:25:00,273.9,4.72,2.704,4.998
2026-03-10 15:30:00,275.2,6.331,2.966,6.831
2026-03-10 15:35:00,273.6,5.775,2.801,6.164
2026-03-10 15:40:00,286.9,4.276,2.046,4.498
2026-03-10 15:45:00,217.1,4.609,1.734,4.665
2026-03-10 15:50:00,259.5,5.72,2.338,5.831
2026-03-10 15:55:00,260.8,4.221,2.255,4.498
2026-03-10 16:00:00,238,3.221,1.844,3.332
2026-03-10 16:05:00,252,4.998,2.041,5.165
2026-03-10 16:10:00,230.6,2.332,1.197,2.332
2026-03-10 16:15:00,265.6,3.943,1.535,3.998
2026-03-10 16:20:00,107.4,1.111,0.323,1.166
2026-03-10 16:25:00,353.7,1,0.414,1
2026-03-10 16:30:00,265.6,2.443,1.19,2.499
2026-03-10 16:35:00,255.2,3.332,0.889,3.332
2026-03-10 16:40:00,179.1,2.221,1.135,2.332
2026-03-10 16:45:00,124.5,0.777,0.216,0.833
2026-03-10 16:50:00,153.9,1.277,0.464,1.333
2026-03-10 16:55:00,200.3,1.277,0.522,1.333
2026-03-10 17:00:00,182.7,1.833,1.022,1.833
2026-03-10 17:05:00,182.5,3.11,1.884,3.165
2026-03-10 17:10:00,187.2,3.499,1.904,3.665
2026-03-10 17:15:00,213.3,1.944,1.072,1.999
2026-03-10 17:20:00,123.6,1.777,0.826,1.833
2026-03-10 17:25:00,130.7,2.777,0.948,2.832
2026-03-10 17:30:00,210.6,1.944,1.433,1.999
2026-03-10 17:35:00,186.3,1.888,0.981,1.999
2026-03-10 17:40:00,182.2,1.833,1.041,1.833
2026-03-10 17:45:00,113.8,0.889,0.312,1
2026-03-10 17:50:00,197.7,1.666,0.6,1.666
2026-03-10 17:55:00,217.4,2.055,0.737,2.166
2026-03-10 18:00:00,186.7,3.832,1.568,3.998
2026-03-10 18:05:00,182,1.833,0.905,1.999
2026-03-10 18:10:00,169.3,2.388,0.848,2.499
2026-03-10 18:15:00,155.8,2.61,1.6,2.666
2026-03-10 18:20:00,212.5,2.332,0.935,2.332
2026-03-10 18:25:00,208.1,1.666,1.099,1.666
2026-03-10 18:30:00,189.1,1.833,1.257,1.833
2026-03-10 18:35:00,200.8,2.277,1.08,2.332
2026-03-10 18:40:00,208.4,1.833,0.996,1.833
2026-03-10 18:45:00,183.1,3.054,1.447,3.165
2026-03-10 18:50:00,193.3,2.166,1.37,2.166
2026-03-10 18:55:00,248.5,1.444,0.801,1.499
2026-03-10 19:00:00,245.8,1.722,1.052,1.833
2026-03-10 19:05:00,227,2.499,1.402,2.499
2026-03-10 19:10:00,206,1.944,1.406,1.999
2026-03-10 19:15:00,214.7,2.277,1.586,2.332
2026-03-10 19:20:00,204.2,3.221,1.884,3.332
2026-03-10 19:25:00,214.9,3.054,2.098,3.165
2026-03-10 19:30:00,195.9,2.666,1.384,2.666
2026-03-10 19:35:00,199.5,3.776,1.512,4.165
2026-03-10 19:40:00,236.5,1.666,0.636,1.666
2026-03-10 19:45:00,158.7,2.943,0.996,2.999
2026-03-10 19:50:00,200.4,2.943,1.927,2.999
2026-03-10 19:55:00,205.3,3.276,2.215,3.332
2026-03-10 20:00:00,202.4,3.665,2.413,3.665
2026-03-10 20:05:00,208,2.443,1.742,2.499
2026-03-10 20:10:00,231.3,2.443,1.525,2.499
2026-03-10 20:15:00,214.5,2.332,0.836,2.332
2026-03-10 20:20:00,223,2.221,1.602,2.332
2026-03-10 20:25:00,217,2.221,1.556,2.332
2026-03-10 20:30:00,207.1,1.722,1.077,1.833
2026-03-10 20:35:00,222.5,1.333,0.674,1.333
2026-03-10 20:40:00,205.4,1.444,0.985,1.499
2026-03-10 20:45:00,196.9,1.555,0.809,1.666
2026-03-10 20:50:00,266.9,2.11,1.122,2.166
2026-03-10 20:55:00,218.3,2.11,1.562,2.166
2026-03-10 21:00:00,220.9,1.944,1.276,1.999
2026-03-10 21:05:00,223.6,1.777,1.091,1.833
2026-03-10 21:10:00,201.9,2.166,1.602,2.166
2026-03-10 21:15:00,218.2,2.443,1.743,2.499
2026-03-10 21:20:00,213.4,1.499,0.799,1.499
2026-03-10 21:25:00,197.2,2.166,1.075,2.332
2026-03-10 21:30:00,218.2,2.055,1.517,2.166
2026-03-10 21:35:00,216.4,1.999,1.198,1.999
2026-03-10 21:40:00,213.6,2.221,1.485,2.332
2026-03-10 21:45:00,226.5,1.999,1.425,1.999
2026-03-10 21:50:00,252.8,2.388,1.097,2.499
2026-03-10 21:55:00,216.7,2.388,1.086,2.332
2026-03-10 22:00:00,214.2,1.166,0.389,1.166
2026-03-10 22:05:00,209.1,1.388,0.665,1.499
2026-03-10 22:10:00,189.2,1.277,0.569,1.333
2026-03-10 22:15:00,195.9,1.888,0.987,1.999
2026-03-10 22:20:00,256,2.277,1.558,2.332
2026-03-10 22:25:00,301.8,2.443,0.627,2.499
2026-03-10 22:30:00,212.9,2.388,1.567,2.332
2026-03-10 22:35:00,198.3,1.888,0.941,1.999
2026-03-10 22:40:00,209.4,2.166,1.269,2.166
2026-03-10 22:45:00,223.8,1.722,0.864,1.833
2026-03-10 22:50:00,216.7,1.61,1.129,1.666
2026-03-10 22:55:00,220.4,1.888,1.193,1.999
2026-03-10 23:00:00,221.4,2.61,1.823,2.666
2026-03-10 23:05:00,227.5,2.388,1.585,2.499
2026-03-10 23:10:00,238,1.722,1.112,1.833
2026-03-10 23:15:00,221.2,1.888,1.381,1.999
2026-03-10 23:20:00,248.6,2.055,1.156,2.166
2026-03-10 23:25:00,210.9,2.221,1.215,2.332
2026-03-10 23:30:00,198.4,2.166,1.356,2.166
2026-03-10 23:35:00,221.1,1.999,1.454,2.166
2026-03-10 23:40:00,220.6,2.777,1.944,2.832
2026-03-10 23:45:00,228.7,2.666,1.631,2.832
2026-03-10 23:50:00,221.7,2.332,1.564,2.332
2026-03-10 23:55:00,213.2,2.61,1.688,2.666
2026-03-11 00:00:00,219,2.166,1.363,2.166
2026-03-11 00:05:00,211.3,1.444,0.977,1.499
2026-03-11 00:10:00,226.9,1.888,1.3,1.999
2026-03-11 00:15:00,277.3,1.777,0.829,1.833
2026-03-11 00:20:00,187,2.166,1.284,2.166
2026-03-11 00:25:00,217.3,1.61,0.544,1.666
2026-03-11 00:30:00,251.5,1.944,0.866,1.999
2026-03-11 00:35:00,222.8,2.166,1.446,2.166
2026-03-11 00:40:00,236.9,2.11,1.507,2.166
2026-03-11 00:45:00,211.6,2.332,1.478,2.332
2026-03-11 00:50:00,205.6,1.499,0.945,1.499
2026-03-11 00:55:00,226.7,1.999,1.338,1.999
2026-03-11 01:00:00,225.3,1.777,1.287,1.833
2026-03-11 01:05:00,215.6,2.555,1.528,2.666
2026-03-11 01:10:00,218.6,2.11,1.57,2.166
2026-03-11 01:15:00,230,2.277,1.391,2.332
2026-03-11 01:20:00,224.6,1.833,1.213,1.833
2026-03-11 01:25:00,244.8,1.722,0.987,1.833
2026-03-11 01:30:00,258.7,1.333,0.812,1.333
2026-03-11 01:35:00,273.6,1.055,0.444,1.166
2026-03-11 01:40:00,259.9,1.333,0.861,1.333
2026-03-11 01:45:00,223.5,1.833,0.951,1.833
2026-03-11 01:50:00,225.1,1.999,1.344,1.999
2026-03-11 01:55:00,235.8,1.888,1.287,1.999
2026-03-11 02:00:00,222.6,2.443,1.61,2.499
2026-03-11 02:05:00,225.8,2.388,1.697,2.499
2026-03-11 02:10:00,210.2,2.443,1.79,2.499
2026-03-11 02:15:00,203,2.61,1.863,2.666
2026-03-11 02:20:00,214.3,2.721,1.528,2.832
2026-03-11 02:25:00,218.9,3.554,2.205,3.665
2026-03-11 02:30:00,195.2,2.999,1.744,3.165
2026-03-11 02:35:00,168.9,3.998,1.659,3.998
2026-03-11 02:40:00,197.6,2.943,0.936,2.999
2026-03-11 02:45:00,176.1,2.277,1.574,2.332
2026-03-11 02:50:00,204.8,1.777,1.066,1.833
2026-03-11 02:55:00,207.3,1.833,1.106,1.833
2026-03-11 03:00:00,72.43,4.942,1.59,5.331
2026-03-11 03:05:00,135.5,2.943,1.735,2.999
2026-03-11 03:10:00,219.3,5.387,3.13,5.664
2026-03-11 03:15:00,167.1,5.276,3.008,5.331
2026-03-11 03:20:00,208.9,4.109,1.131,3.998
2026-03-11 03:25:00,197.1,8.05,3.218,9
2026-03-11 03:30:00,149.2,5.72,1.886,6.164
2026-03-11 03:35:00,161.9,5.22,1.722,5.664
2026-03-11 03:40:00,254.9,7.164,3.431,7.497
2026-03-11 03:45:00,112.3,4.387,2.007,4.498
2026-03-11 03:50:00,195.7,4.276,2.018,4.332
2026-03-11 03:55:00,156.2,3.332,1.367,3.499
2026-03-11 04:00:00,162.5,2.055,1.463,2.166
2026-03-11 04:05:00,211.1,2.11,0.909,2.166
2026-03-11 04:10:00,177.2,2.332,1.108,2.332
2026-03-11 04:15:00,107.9,2.055,0.819,2.166
2026-03-11 04:20:00,216.9,3.165,1.506,3.165
2026-03-11 04:25:00,250.9,1.833,0.954,1.833
2026-03-11 04:30:00,113.1,1.888,0.981,1.999
2026-03-11 04:35:00,231,2.666,1.06,2.832
2026-03-11 04:40:00,95.2,3.721,1.533,3.832
2026-03-11 04:45:00,130.7,4.443,1.458,4.665
2026-03-11 04:50:00,108.5,4.998,2.317,5.165
2026-03-11 04:55:00,157.3,2.555,1.523,2.666
2026-03-11 05:00:00,174.2,2.61,1.319,2.666
2026-03-11 05:05:00,173.5,3.943,1.422,3.998
2026-03-11 05:10:00,194.2,3.554,2.239,3.665
2026-03-11 05:15:00,182.8,3.332,1.976,3.332
2026-03-11 05:20:00,177.1,5.998,2.281,6.164
2026-03-11 05:25:00,172.5,5.165,2.434,5.331
2026-03-11 05:30:00,166.3,5.331,2.515,5.664
2026-03-11 05:35:00,252.5,2.943,1.628,2.999
2026-03-11 05:40:00,77.4,5.942,1.837,6.331
2026-03-11 05:45:00,265.4,3.943,1.844,4.165
2026-03-11 05:50:00,175.8,1.833,1,1.833
2026-03-11 05:55:00,131.9,3.443,1.513,3.665
2026-03-11 06:00:00,116.6,5.387,2.45,5.498
2026-03-11 06:05:00,8.14,4.887,1.292,4.998
2026-03-11 06:10:00,245.1,3.832,1.769,3.998
2026-03-11 06:15:00,185.9,6.164,2.759,6.164
2026-03-11 06:20:00,275.5,7.275,3.665,8.33
2026-03-11 06:25:00,85,5.553,1.883,5.664
2026-03-11 06:30:00,209.9,3.499,1.712,3.665
2026-03-11 06:35:00,216.6,3.276,1.915,3.332
2026-03-11 06:40:00,205.1,3.165,1.856,3.332
2026-03-11 06:45:00,181.5,4.165,2.196,4.165
2026-03-11 06:50:00,176.1,3.443,1.766,3.665
2026-03-11 06:55:00,203.9,3.721,1.865,3.998
2026-03-11 07:00:00,176.8,3.332,2.035,3.332
2026-03-11 07:05:00,175.7,2.888,2.12,2.999
2026-03-11 07:10:00,194,2.555,1.506,2.666
2026-03-11 07:15:00,196,1.888,0.729,1.833
2026-03-11 07:20:00,214.9,1.166,0.585,1.166
2026-03-11 07:25:00,280.2,1.222,0.418,1.333
2026-03-11 07:30:00,163,0.278,0.009,0.333
2026-03-11 07:35:00,192.7,2.832,1.567,2.832
2026-03-11 07:40:00,169.8,2.943,1.918,2.999
2026-03-11 07:45:00,172.3,2.832,1.095,2.999
2026-03-11 07:50:00,175.2,3.165,1.595,3.332
2026-03-11 07:55:00,200.2,1.888,1.146,1.999
2026-03-11 08:00:00,187.4,3.11,1.433,3.332
2026-03-11 08:05:00,180.1,6.331,2.413,6.497
2026-03-11 08:10:00,143.2,4.776,1.777,4.998
2026-03-11 08:15:00,157.4,7.997,3.073,8.16
2026-03-11 08:20:00,156.9,5.998,3.444,6.164
2026-03-11 08:25:00,142.9,5.331,3.301,5.498
2026-03-11 08:30:00,190.6,5.775,2.365,5.998
2026-03-11 08:35:00,160.4,5.442,2.279,5.664
2026-03-11 08:40:00,180.1,4.109,1.944,4.332
2026-03-11 08:45:00,189.2,4.887,1.954,4.998
2026-03-11 08:50:00,195.8,2.61,1.361,2.832
2026-03-11 08:55:00,203,4.942,1.746,5.664
2026-03-11 09:00:00,242.2,4.054,1.997,4.332
2026-03-11 09:05:00,147.3,3.665,1.478,3.998
2026-03-11 09:10:00,166.7,2.999,1.584,3.165
2026-03-11 09:15:00,152.8,2.499,1.214,2.499
2026-03-11 09:20:00,190.7,2.221,0.91,2.332
2026-03-11 09:25:00,149.6,4.054,1.446,4.332
2026-03-11 09:30:00,129,7.941,2.262,8.33
2026-03-11 09:35:00,200.4,3.165,1.608,3.332
2026-03-11 09:40:00,131.8,4.109,1.973,4.332
2026-03-11 09:45:00,307.7,4.498,1.618,4.665
2026-03-11 09:50:00,260.5,5.442,2.27,5.498
2026-03-11 09:55:00,167.1,2.777,1.097,2.832
2026-03-11 10:00:00,191,5.442,2.037,5.831
2026-03-11 10:05:00,227.3,3.221,1.135,3.332
2026-03-11 10:10:00,235.3,2.277,0.747,2.666
2026-03-11 10:15:00,216.2,2.999,1.312,3.165
2026-03-11 10:20:00,186.2,3.721,1.285,3.998
2026-03-11 10:25:00,195,2.888,1.019,3.165
2026-03-11 10:30:00,304.5,3.443,1.689,3.665
2026-03-11 10:35:00,195.1,2.777,1.393,2.832
2026-03-11 10:40:00,51.1,3.054,1.645,3.165
2026-03-11 10:45:00,248,4.276,1.784,4.831
2026-03-11 10:50:00,120,2.166,1.302,2.166
2026-03-11 10:55:00,17.39,3.776,1.404,3.832
2026-03-11 11:00:00,294.4,3.998,0.93,3.998
2026-03-11 11:05:00,310.4,2.166,0.712,2.166
2026-03-11 11:10:00,63.9,7.33,1.387,7.83
2026-03-11 11:15:00,235.3,3.221,1.572,3.332
2026-03-11 11:20:00,145,4.109,2.011,4.332
2026-03-11 11:25:00,114.9,4.776,1.532,5.165
2026-03-11 11:30:00,69.96,2.777,0.888,2.999
2026-03-11 11:35:00,130.6,3.332,1.384,3.332
2026-03-11 11:40:00,173,3.554,1.32,3.665
2026-03-11 11:45:00,142.1,3.388,1.423,3.832
2026-03-11 11:50:00,123.8,5.942,2.41,6.497
2026-03-11 11:55:00,175.4,3.61,1.325,3.665
2026-03-11 12:00:00,132.5,3.554,2.061,3.665
2026-03-11 12:05:00,188.4,5.498,1.728,5.498
2026-03-11 12:10:00,265.6,6.886,2.424,7.33
2026-03-11 12:15:00,270.6,8.89,3.38,9.16
2026-03-11 12:20:00,323.8,6.72,3.393,6.831
2026-03-11 12:25:00,253.8,8.33,3.171,8.5
2026-03-11 12:30:00,287.7,6.053,2.598,6.664
2026-03-11 12:35:00,280.5,7.886,3.368,8.33
2026-03-11 12:40:00,269.3,6.997,3.505,7.164
2026-03-11 12:45:00,265.5,6.942,1.557,7.997
2026-03-11 12:50:00,253.7,8.16,3.522,8.33
2026-03-11 12:55:00,276.6,7.775,3.065,7.997
2026-03-11 13:00:00,246.2,8.83,3.465,9.33
2026-03-11 13:05:00,235.9,6.72,2.483,7.33
2026-03-11 13:10:00,241.5,7.497,3.559,7.664
2026-03-11 13:15:00,226.6,9.94,4.317,10.5
2026-03-11 13:20:00,205.5,7.997,4.539,9.16
2026-03-11 13:25:00,217.4,10.05,3.882,11
2026-03-11 13:30:00,214.8,7.886,4.066,8.16
2026-03-11 13:35:00,208.6,9.11,4.25,9.66
2026-03-11 13:40:00,193.4,6.886,4.377,6.997
2026-03-11 13:45:00,210.2,7.83,4.585,8.33
2026-03-11 13:50:00,190,7.664,4.198,8.33
2026-03-11 13:55:00,173.4,5.775,3.554,5.998
2026-03-11 14:00:00,217.7,6.442,3.574,6.831
2026-03-11 14:05:00,184.7,8.22,4.244,8.66
2026-03-11 14:10:00,221.9,7.164,3.59,7.83
2026-03-11 14:15:00,201.7,7.608,4.329,7.664
2026-03-11 14:20:00,195.4,10.33,2.868,10.5
2026-03-11 14:25:00,214.6,8.66,2.857,7.33
2026-03-11 14:30:00,175,2.832,1.715,2.832
2026-03-11 14:35:00,128.7,1.833,1.141,1.833
2026-03-11 14:40:00,173.8,2.332,1.172,2.832
2026-03-11 14:45:00,170.5,4.443,2.615,4.498
2026-03-11 14:50:00,169.7,3.943,1.674,4.165
2026-03-11 14:55:00,212.4,6.386,2.081,7.33
2026-03-11 15:00:00,203.8,8.94,4.427,9
2026-03-11 15:05:00,214.2,9.44,4.098,10.83
2026-03-11 15:10:00,203,8.27,3.3,8.5
2026-03-11 15:15:00,191.4,6.997,4.141,7.664
2026-03-11 15:20:00,193.3,9.22,4.358,9.83
2026-03-11 15:25:00,205.4,5.998,3.569,6.331
2026-03-11 15:30:00,210.4,8.44,4.187,9.5
2026-03-11 15:35:00,223.4,6.553,3.625,6.997
2026-03-11 15:40:00,234.5,6.608,3.211,6.664
2026-03-11 15:45:00,228.5,10.55,3.565,11
2026-03-11 15:50:00,237.3,8.72,3.484,9.16
2026-03-11 15:55:00,226.5,6.831,3.513,7.33
2026-03-11 16:00:00,229,5.165,2.381,5.498
2026-03-11 16:05:00,234.6,5.276,2.057,5.331
2026-03-11 16:10:00,214.8,4.887,2.261,5.165
2026-03-11 16:15:00,200.3,5.775,3.3,5.998
2026-03-11 16:20:00,214.2,4.665,2.821,4.831
