island,division_type,name,date,mean,anomaly,pchange,rank,max
Hawaiʻi,climate,Hawaiʻi Mauka,2026-03,49.838332052832904,1.3884759047961595,1.3884759047961595,8.0,61.17742500305176
Hawaiʻi,climate,Hilo,2026-03,64.93480457607575,1.8293886933301025,1.8293886933301025,4.0,74.65419235229493
Hawaiʻi,climate,Kaʻu,2026-03,64.64319787985866,1.8606701161029804,1.8606701161029804,4.0,74.65419235229493
Hawaiʻi,climate,Kona,2026-03,62.841206777470816,1.8614584261652283,1.8614584261652283,3.0,74.64838676452636
Hawaiʻi,climate,Leeward Kohala,2026-03,68.40918986305448,1.8985170437630217,1.8985170437630217,3.0,74.65419235229493
Hawaiʻi,climate,Windward Kohala,2026-03,64.29159325928762,1.8483812476062695,1.8483812476062695,4.0,74.64838676452636
Kauaʻi,climate,Leeward Kauaʻi,2026-03,68.29282856571314,1.193017040908174,1.193017040908174,9.0,73.87031784057618
Kauaʻi,climate,Windward Kauaʻi,2026-03,69.05509069188317,1.1712743135011436,1.1712743135011436,9.0,73.85289764404297
Maui,climate,Leeward Maui Nui,2026-03,69.17053222077307,0.7829747895423367,0.7829747895423367,11.0,73.56838607788086
Maui,climate,Windward Maui Nui,2026-03,66.49942069337165,0.906938207292967,0.906938207292967,11.0,73.56838607788086
Oʻahu,climate,Koʻolau,2026-03,70.27292698841016,0.9057180615765787,0.9057180615765787,12.0,74.1316104888916
Oʻahu,climate,Waianae,2026-03,71.85532183833539,0.9509010176962391,0.9509010176962391,10.0,74.1316104888916
